model,dataset,variant_type,n,correct,accuracy
Gemma-3-1B-IT,commonsense_qa,information_order,10,4,0.4
Gemma-3-1B-IT,commonsense_qa,lexical,10,4,0.4
Gemma-3-1B-IT,commonsense_qa,original,10,3,0.3
Gemma-3-1B-IT,commonsense_qa,syntactic,10,3,0.3
Gemma-3-1B-IT,gsm8k,information_order,10,0,0.0
Gemma-3-1B-IT,gsm8k,lexical,10,0,0.0
Gemma-3-1B-IT,gsm8k,original,10,0,0.0
Gemma-3-1B-IT,gsm8k,syntactic,10,0,0.0
Gemma-3-1B-IT,logiqa,information_order,10,3,0.3
Gemma-3-1B-IT,logiqa,lexical,10,3,0.3
Gemma-3-1B-IT,logiqa,original,10,4,0.4
Gemma-3-1B-IT,logiqa,syntactic,10,3,0.3
Llama-3.2-3B-Instruct,commonsense_qa,information_order,10,6,0.6
Llama-3.2-3B-Instruct,commonsense_qa,lexical,10,8,0.8
Llama-3.2-3B-Instruct,commonsense_qa,original,10,7,0.7
Llama-3.2-3B-Instruct,commonsense_qa,syntactic,10,7,0.7
Llama-3.2-3B-Instruct,gsm8k,information_order,10,1,0.1
Llama-3.2-3B-Instruct,gsm8k,lexical,10,1,0.1
Llama-3.2-3B-Instruct,gsm8k,original,10,2,0.2
Llama-3.2-3B-Instruct,gsm8k,syntactic,10,0,0.0
Llama-3.2-3B-Instruct,logiqa,information_order,10,4,0.4
Llama-3.2-3B-Instruct,logiqa,lexical,10,3,0.3
Llama-3.2-3B-Instruct,logiqa,original,10,6,0.6
Llama-3.2-3B-Instruct,logiqa,syntactic,10,5,0.5
Qwen2.5-3B-Instruct,commonsense_qa,information_order,10,7,0.7
Qwen2.5-3B-Instruct,commonsense_qa,lexical,10,8,0.8
Qwen2.5-3B-Instruct,commonsense_qa,original,10,10,1.0
Qwen2.5-3B-Instruct,commonsense_qa,syntactic,10,7,0.7
Qwen2.5-3B-Instruct,gsm8k,information_order,10,1,0.1
Qwen2.5-3B-Instruct,gsm8k,lexical,10,1,0.1
Qwen2.5-3B-Instruct,gsm8k,original,10,2,0.2
Qwen2.5-3B-Instruct,gsm8k,syntactic,10,2,0.2
Qwen2.5-3B-Instruct,logiqa,information_order,10,3,0.3
Qwen2.5-3B-Instruct,logiqa,lexical,10,6,0.6
Qwen2.5-3B-Instruct,logiqa,original,10,7,0.7
Qwen2.5-3B-Instruct,logiqa,syntactic,10,6,0.6
