model,dataset,n_groups,original_accuracy,robust_accuracy_core,robustness_gap,all_four_correct
Gemma-3-1B-IT,commonsense_qa,10,0.3,0.3,0.0,3
Gemma-3-1B-IT,gsm8k,10,0.0,0.0,0.0,0
Gemma-3-1B-IT,logiqa,10,0.4,0.3,-0.10000000000000003,3
Gemma-3-1B-IT,ALL,30,0.23333333333333334,0.2,-0.033333333333333326,6
Llama-3.2-3B-Instruct,commonsense_qa,10,0.7,0.6,-0.09999999999999998,6
Llama-3.2-3B-Instruct,gsm8k,10,0.2,0.0,-0.2,0
Llama-3.2-3B-Instruct,logiqa,10,0.6,0.2,-0.39999999999999997,2
Llama-3.2-3B-Instruct,ALL,30,0.5,0.26666666666666666,-0.23333333333333334,8
Qwen2.5-3B-Instruct,commonsense_qa,10,1.0,0.6,-0.4,6
Qwen2.5-3B-Instruct,gsm8k,10,0.2,0.0,-0.2,0
Qwen2.5-3B-Instruct,logiqa,10,0.7,0.3,-0.39999999999999997,3
Qwen2.5-3B-Instruct,ALL,30,0.6333333333333333,0.3,-0.3333333333333333,9
