model,variant_type,direction,count
Gemma-3-1B-IT,information_order,correct_to_correct,6
Gemma-3-1B-IT,information_order,correct_to_wrong,1
Gemma-3-1B-IT,information_order,wrong_to_correct,1
Gemma-3-1B-IT,information_order,wrong_to_wrong,22
Gemma-3-1B-IT,lexical,correct_to_correct,6
Gemma-3-1B-IT,lexical,correct_to_wrong,1
Gemma-3-1B-IT,lexical,wrong_to_correct,1
Gemma-3-1B-IT,lexical,wrong_to_wrong,22
Gemma-3-1B-IT,syntactic,correct_to_correct,6
Gemma-3-1B-IT,syntactic,correct_to_wrong,1
Gemma-3-1B-IT,syntactic,wrong_to_wrong,23
Llama-3.2-3B-Instruct,information_order,correct_to_correct,10
Llama-3.2-3B-Instruct,information_order,correct_to_wrong,5
Llama-3.2-3B-Instruct,information_order,wrong_to_correct,1
Llama-3.2-3B-Instruct,information_order,wrong_to_wrong,14
Llama-3.2-3B-Instruct,lexical,correct_to_correct,11
Llama-3.2-3B-Instruct,lexical,correct_to_wrong,4
Llama-3.2-3B-Instruct,lexical,wrong_to_correct,1
Llama-3.2-3B-Instruct,lexical,wrong_to_wrong,14
Llama-3.2-3B-Instruct,syntactic,correct_to_correct,12
Llama-3.2-3B-Instruct,syntactic,correct_to_wrong,3
Llama-3.2-3B-Instruct,syntactic,wrong_to_wrong,15
Qwen2.5-3B-Instruct,information_order,correct_to_correct,10
Qwen2.5-3B-Instruct,information_order,correct_to_wrong,9
Qwen2.5-3B-Instruct,information_order,wrong_to_correct,1
Qwen2.5-3B-Instruct,information_order,wrong_to_wrong,10
Qwen2.5-3B-Instruct,lexical,correct_to_correct,15
Qwen2.5-3B-Instruct,lexical,correct_to_wrong,4
Qwen2.5-3B-Instruct,lexical,wrong_to_wrong,11
Qwen2.5-3B-Instruct,syntactic,correct_to_correct,13
Qwen2.5-3B-Instruct,syntactic,correct_to_wrong,6
Qwen2.5-3B-Instruct,syntactic,wrong_to_correct,2
Qwen2.5-3B-Instruct,syntactic,wrong_to_wrong,9
