model,variant_type,n,correct,accuracy
Gemma-3-1B-IT,information_order,30,7,0.23333333333333334
Gemma-3-1B-IT,lexical,30,7,0.23333333333333334
Gemma-3-1B-IT,original,30,7,0.23333333333333334
Gemma-3-1B-IT,syntactic,30,6,0.2
Llama-3.2-3B-Instruct,information_order,30,11,0.36666666666666664
Llama-3.2-3B-Instruct,lexical,30,12,0.4
Llama-3.2-3B-Instruct,original,30,15,0.5
Llama-3.2-3B-Instruct,syntactic,30,12,0.4
Qwen2.5-3B-Instruct,information_order,30,11,0.36666666666666664
Qwen2.5-3B-Instruct,lexical,30,15,0.5
Qwen2.5-3B-Instruct,original,30,19,0.6333333333333333
Qwen2.5-3B-Instruct,syntactic,30,15,0.5
