group_id,dataset,variant_type,numbers_preserved_exact,choices_preserved_exact,text_changed,transformation_source
RS_COMMONSENSE_QA_001,commonsense_qa,lexical,True,True,True,validated_pilot
RS_COMMONSENSE_QA_001,commonsense_qa,syntactic,True,True,True,validated_pilot
RS_COMMONSENSE_QA_001,commonsense_qa,information_order,True,True,True,validated_pilot
RS_COMMONSENSE_QA_002,commonsense_qa,lexical,True,True,True,validated_pilot
RS_COMMONSENSE_QA_002,commonsense_qa,syntactic,True,True,True,validated_pilot
RS_COMMONSENSE_QA_002,commonsense_qa,information_order,True,True,True,validated_pilot
RS_COMMONSENSE_QA_003,commonsense_qa,lexical,True,True,True,validated_pilot
RS_COMMONSENSE_QA_003,commonsense_qa,syntactic,True,True,True,validated_pilot
RS_COMMONSENSE_QA_003,commonsense_qa,information_order,True,True,True,validated_pilot
RS_COMMONSENSE_QA_004,commonsense_qa,lexical,True,True,True,validated_pilot
RS_COMMONSENSE_QA_004,commonsense_qa,syntactic,True,True,True,validated_pilot
RS_COMMONSENSE_QA_004,commonsense_qa,information_order,True,True,True,validated_pilot
RS_COMMONSENSE_QA_005,commonsense_qa,lexical,True,True,True,validated_pilot
RS_COMMONSENSE_QA_005,commonsense_qa,syntactic,True,True,True,validated_pilot
RS_COMMONSENSE_QA_005,commonsense_qa,information_order,True,True,True,validated_pilot
RS_COMMONSENSE_QA_006,commonsense_qa,lexical,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_006,commonsense_qa,syntactic,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_006,commonsense_qa,information_order,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_016,commonsense_qa,lexical,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_016,commonsense_qa,syntactic,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_016,commonsense_qa,information_order,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_020,commonsense_qa,lexical,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_020,commonsense_qa,syntactic,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_020,commonsense_qa,information_order,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_024,commonsense_qa,lexical,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_024,commonsense_qa,syntactic,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_024,commonsense_qa,information_order,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_030,commonsense_qa,lexical,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_030,commonsense_qa,syntactic,True,True,True,controlled_conservative_rewrite
RS_COMMONSENSE_QA_030,commonsense_qa,information_order,True,True,True,controlled_conservative_rewrite
RS_GSM8K_001,gsm8k,lexical,True,True,True,validated_pilot
RS_GSM8K_001,gsm8k,syntactic,True,True,True,validated_pilot
RS_GSM8K_001,gsm8k,information_order,True,True,True,validated_pilot
RS_GSM8K_002,gsm8k,lexical,True,True,True,controlled_conservative_rewrite
RS_GSM8K_002,gsm8k,syntactic,True,True,True,validated_pilot
RS_GSM8K_002,gsm8k,information_order,True,True,True,controlled_conservative_rewrite
RS_GSM8K_003,gsm8k,lexical,True,True,True,validated_pilot
RS_GSM8K_003,gsm8k,syntactic,True,True,True,validated_pilot
RS_GSM8K_003,gsm8k,information_order,True,True,True,validated_pilot
RS_GSM8K_004,gsm8k,lexical,True,True,True,validated_pilot
RS_GSM8K_004,gsm8k,syntactic,True,True,True,validated_pilot
RS_GSM8K_004,gsm8k,information_order,True,True,True,validated_pilot
RS_GSM8K_005,gsm8k,lexical,True,True,True,validated_pilot
RS_GSM8K_005,gsm8k,syntactic,True,True,True,validated_pilot
RS_GSM8K_005,gsm8k,information_order,True,True,True,validated_pilot
RS_GSM8K_006,gsm8k,lexical,True,True,True,controlled_conservative_rewrite
RS_GSM8K_006,gsm8k,syntactic,True,True,True,controlled_conservative_rewrite
RS_GSM8K_006,gsm8k,information_order,True,True,True,controlled_conservative_rewrite
RS_GSM8K_007,gsm8k,lexical,True,True,True,controlled_conservative_rewrite
RS_GSM8K_007,gsm8k,syntactic,True,True,True,controlled_conservative_rewrite
RS_GSM8K_007,gsm8k,information_order,True,True,True,controlled_conservative_rewrite
RS_GSM8K_008,gsm8k,lexical,True,True,True,controlled_conservative_rewrite
RS_GSM8K_008,gsm8k,syntactic,True,True,True,controlled_conservative_rewrite
RS_GSM8K_008,gsm8k,information_order,True,True,True,controlled_conservative_rewrite
RS_GSM8K_009,gsm8k,lexical,True,True,True,controlled_conservative_rewrite
RS_GSM8K_009,gsm8k,syntactic,True,True,True,controlled_conservative_rewrite
RS_GSM8K_009,gsm8k,information_order,True,True,True,controlled_conservative_rewrite
RS_GSM8K_010,gsm8k,lexical,True,True,True,controlled_conservative_rewrite
RS_GSM8K_010,gsm8k,syntactic,True,True,True,controlled_conservative_rewrite
RS_GSM8K_010,gsm8k,information_order,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_001,logiqa,lexical,True,True,True,validated_pilot
RS_LOGIQA_001,logiqa,syntactic,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_001,logiqa,information_order,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_002,logiqa,lexical,True,True,True,validated_pilot
RS_LOGIQA_002,logiqa,syntactic,True,True,True,validated_pilot
RS_LOGIQA_002,logiqa,information_order,True,True,True,validated_pilot
RS_LOGIQA_003,logiqa,lexical,True,True,True,validated_pilot
RS_LOGIQA_003,logiqa,syntactic,True,True,True,validated_pilot
RS_LOGIQA_003,logiqa,information_order,True,True,True,validated_pilot
RS_LOGIQA_004,logiqa,lexical,True,True,True,validated_pilot
RS_LOGIQA_004,logiqa,syntactic,True,True,True,validated_pilot
RS_LOGIQA_004,logiqa,information_order,True,True,True,validated_pilot
RS_LOGIQA_005,logiqa,lexical,True,True,True,validated_pilot
RS_LOGIQA_005,logiqa,syntactic,True,True,True,validated_pilot
RS_LOGIQA_005,logiqa,information_order,True,True,True,validated_pilot
RS_LOGIQA_006,logiqa,lexical,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_006,logiqa,syntactic,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_006,logiqa,information_order,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_007,logiqa,lexical,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_007,logiqa,syntactic,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_007,logiqa,information_order,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_011,logiqa,lexical,True,True,True,controlled_conservative_rewrite
RS_LOGIQA_011,logiqa,syntactic,True,True,True,controlled_conservative_rewrite
