model,dataset,variant_type,n_groups,original_accuracy,variant_accuracy,accuracy_delta,delta_ci95_low,delta_ci95_high,correctness_flip_rate,degradation_rate,recovery_rate,correct_to_wrong,wrong_to_correct,both_correct,both_wrong,mcnemar_p,mcnemar_p_bh,significant_raw_005,significant_bh_005
Gemma-3-1B-IT,commonsense_qa,lexical,10,0.3,0.4,0.10000000000000003,0.0,0.3,0.1,0.0,0.1,0,1,3,6,1.0,1.0,False,False
Gemma-3-1B-IT,commonsense_qa,syntactic,10,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,7,1.0,1.0,False,False
Gemma-3-1B-IT,commonsense_qa,information_order,10,0.3,0.4,0.10000000000000003,0.0,0.3,0.1,0.0,0.1,0,1,3,6,1.0,1.0,False,False
Gemma-3-1B-IT,gsm8k,lexical,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,1.0,1.0,False,False
Gemma-3-1B-IT,gsm8k,syntactic,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,1.0,1.0,False,False
Gemma-3-1B-IT,gsm8k,information_order,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,1.0,1.0,False,False
Gemma-3-1B-IT,logiqa,lexical,10,0.4,0.3,-0.10000000000000003,-0.3,0.0,0.1,0.1,0.0,1,0,3,6,1.0,1.0,False,False
Gemma-3-1B-IT,logiqa,syntactic,10,0.4,0.3,-0.10000000000000003,-0.3,0.0,0.1,0.1,0.0,1,0,3,6,1.0,1.0,False,False
Gemma-3-1B-IT,logiqa,information_order,10,0.4,0.3,-0.10000000000000003,-0.3,0.0,0.1,0.1,0.0,1,0,3,6,1.0,1.0,False,False
Gemma-3-1B-IT,ALL,lexical,30,0.23333333333333334,0.23333333333333334,0.0,-0.1,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,1,1,6,22,1.0,1.0,False,False
Gemma-3-1B-IT,ALL,syntactic,30,0.23333333333333334,0.2,-0.033333333333333326,-0.1,0.0,0.03333333333333333,0.03333333333333333,0.0,1,0,6,23,1.0,1.0,False,False
Gemma-3-1B-IT,ALL,information_order,30,0.23333333333333334,0.23333333333333334,0.0,-0.1,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,1,1,6,22,1.0,1.0,False,False
Llama-3.2-3B-Instruct,commonsense_qa,lexical,10,0.7,0.8,0.10000000000000009,0.0,0.3,0.1,0.0,0.1,0,1,7,2,1.0,1.0,False,False
Llama-3.2-3B-Instruct,commonsense_qa,syntactic,10,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,3,1.0,1.0,False,False
Llama-3.2-3B-Instruct,commonsense_qa,information_order,10,0.7,0.6,-0.09999999999999998,-0.3,0.0,0.1,0.1,0.0,1,0,6,3,1.0,1.0,False,False
Llama-3.2-3B-Instruct,gsm8k,lexical,10,0.2,0.1,-0.1,-0.3,0.0,0.1,0.1,0.0,1,0,1,8,1.0,1.0,False,False
Llama-3.2-3B-Instruct,gsm8k,syntactic,10,0.2,0.0,-0.2,-0.5,0.0,0.2,0.2,0.0,2,0,0,8,0.5,1.0,False,False
Llama-3.2-3B-Instruct,gsm8k,information_order,10,0.2,0.1,-0.1,-0.3,0.0,0.1,0.1,0.0,1,0,1,8,1.0,1.0,False,False
Llama-3.2-3B-Instruct,logiqa,lexical,10,0.6,0.3,-0.3,-0.6,0.0,0.3,0.3,0.0,3,0,3,4,0.25,1.0,False,False
Llama-3.2-3B-Instruct,logiqa,syntactic,10,0.6,0.5,-0.09999999999999998,-0.3,0.0,0.1,0.1,0.0,1,0,5,4,1.0,1.0,False,False
Llama-3.2-3B-Instruct,logiqa,information_order,10,0.6,0.4,-0.19999999999999996,-0.6,0.2,0.4,0.3,0.1,3,1,3,3,0.625,1.0,False,False
Llama-3.2-3B-Instruct,ALL,lexical,30,0.5,0.4,-0.09999999999999998,-0.23333333333333334,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.03333333333333333,4,1,11,14,0.375,1.0,False,False
Llama-3.2-3B-Instruct,ALL,syntactic,30,0.5,0.4,-0.09999999999999998,-0.23333333333333334,0.0,0.1,0.1,0.0,3,0,12,15,0.25,1.0,False,False
Llama-3.2-3B-Instruct,ALL,information_order,30,0.5,0.36666666666666664,-0.13333333333333336,-0.3,0.0,0.2,0.16666666666666666,0.03333333333333333,5,1,10,14,0.21875,1.0,False,False
Qwen2.5-3B-Instruct,commonsense_qa,lexical,10,1.0,0.8,-0.19999999999999996,-0.5,0.0,0.2,0.2,0.0,2,0,8,0,0.5,1.0,False,False
Qwen2.5-3B-Instruct,commonsense_qa,syntactic,10,1.0,0.7,-0.30000000000000004,-0.6,0.0,0.3,0.3,0.0,3,0,7,0,0.25,1.0,False,False
Qwen2.5-3B-Instruct,commonsense_qa,information_order,10,1.0,0.7,-0.30000000000000004,-0.6,0.0,0.3,0.3,0.0,3,0,7,0,0.25,1.0,False,False
Qwen2.5-3B-Instruct,gsm8k,lexical,10,0.2,0.1,-0.1,-0.3,0.0,0.1,0.1,0.0,1,0,1,8,1.0,1.0,False,False
Qwen2.5-3B-Instruct,gsm8k,syntactic,10,0.2,0.2,0.0,-0.4,0.4,0.4,0.2,0.2,2,2,0,6,1.0,1.0,False,False
Qwen2.5-3B-Instruct,gsm8k,information_order,10,0.2,0.1,-0.1,-0.4,0.2,0.3,0.2,0.1,2,1,0,7,1.0,1.0,False,False
Qwen2.5-3B-Instruct,logiqa,lexical,10,0.7,0.6,-0.09999999999999998,-0.3,0.0,0.1,0.1,0.0,1,0,6,3,1.0,1.0,False,False
Qwen2.5-3B-Instruct,logiqa,syntactic,10,0.7,0.6,-0.09999999999999998,-0.3,0.0,0.1,0.1,0.0,1,0,6,3,1.0,1.0,False,False
